Power,Number of TaskRunners,runtime
500,3,4752.055000000003
500,4,3101.3699999999844
500,5,2449.1759999999877
500,6,1781.5809999999792
500,7,1784.4909999999854
500,8,1500.6419999999957
500,9,1465.2110000000048
500,10,1454.880000000007
500,11,1166.742999999996
500,12,1153.1980000000126
550,3,4454.73399999999
550,4,2818.971999999986
550,5,2121.931999999991
550,6,1805.0759999999796
550,7,1780.1299999999896
550,8,1469.6489999999974
550,9,1434.5990000000056
550,10,1190.2380000000098
550,11,1176.6160000000114
550,12,1177.9940000000129
600,3,4496.365999999994
600,4,2784.456999999987
600,5,2128.97199999999
600,6,1795.3569999999809
600,7,1475.9999999999986
600,8,1484.7260000000038
600,9,1415.0840000000067
600,10,1172.7130000000116
600,11,1161.6930000000084
600,12,1201.5660000000112
650,3,4496.365999999994
650,4,2799.9919999999847
650,5,2127.8249999999894
650,6,1801.5579999999836
650,7,1457.7859999999996
650,8,1446.9970000000058
650,9,1170.6460000000093
650,10,1150.5960000000127
650,11,1143.5560000000114
650,12,1184.0410000000102
700,3,3789.83799999998
700,4,2434.3299999999895
700,5,1799.891999999994
700,6,1458.8559999999948
700,7,1457.251000000002
700,8,1498.4250000000038
700,9,1160.9270000000106
700,10,1176.7700000000118
700,11,1122.0510000000115
700,12,1159.9340000000102
750,3,3827.4899999999775
750,4,2459.1259999999893
750,5,1790.0959999999934
750,6,1462.1469999999954
750,7,1470.2610000000013
750,8,1480.2110000000048
750,9,1180.5960000000077
750,10,1194.4490000000108
750,11,1174.2450000000106
750,12,1164.5260000000098
800,3,3779.352999999979
800,4,2469.991999999987
800,5,1792.7709999999975
800,6,1436.1269999999968
800,7,1468.3480000000022
800,8,1164.1410000000096
800,9,1193.6830000000123
800,10,1185.3420000000106
800,11,1199.04100000001
800,12,1160.6230000000098
850,3,3817.6939999999768
850,4,2468.690999999987
850,5,1779.6109999999937
850,6,1452.4279999999835
850,7,1480.823000000004
850,8,1138.121000000011
850,9,1171.566000000012
850,10,1218.6330000000053
850,11,1178.2250000000097
850,12,1159.3220000000097
900,3,3817.6939999999768
900,4,2470.6809999999878
900,5,1784.4299999999953
900,6,1451.738999999996
900,7,1469.8030000000053
900,8,1179.2950000000128
900,9,1160.5460000000112
900,10,1197.7400000000102
900,11,1178.2250000000097
900,12,1174.3220000000097
950,3,3817.6939999999768
950,4,2468.1559999999895
950,5,1778.9989999999937
950,6,1464.8259999999968
950,7,1439.880000000007
950,8,1157.7900000000132
950,9,1190.5460000000107
950,10,1215.4190000000092
950,11,1178.2250000000097
950,12,1156.7200000000098
1000,3,3817.6939999999768
1000,4,2470.0689999999886
1000,5,1785.2729999999885
1000,6,1466.281
1000,7,1156.33500000001
1000,8,1153.9640000000122
1000,9,1197.7400000000102
1000,10,1206.312000000009
1000,11,1174.3220000000097
1000,12,1158.0210000000097
1050,3,3766.3429999999794
1050,4,2428.5909999999903
1050,5,1771.958999999996
1050,6,1452.046999999998
1050,7,1124.422000000011
1050,8,1181.3620000000114
1050,9,1195.8270000000098
1050,10,1210.215000000009
1050,11,1174.3220000000097
1050,12,1225.827000000009
1100,3,3094.864999999985
1100,4,2105.172999999992
1100,5,1447.6979999999971
1100,6,1469.1140000000046
1100,7,1114.091000000013
1100,8,1163.148000000011
1100,9,1183.42900000001
1100,10,1202.409000000009
1100,11,1174.3220000000097
1100,12,1225.827000000009
1150,3,3094.864999999985
1150,4,2096.6779999999926
1150,5,1445.861999999997
1150,6,1476.919999999991
1150,7,1133.0710000000122
1150,8,1157.944000000011
1150,9,1196.5160000000092
1150,10,1206.312000000009
1150,11,1190.0110000000088
1150,12,1229.730000000009
1200,3,3160.5269999999823
1200,4,1773.3369999999954
1200,5,1441.958999999998
1200,6,1483.5020000000054
1200,7,1127.2550000000115
1200,8,1167.1280000000102
1200,9,1177.6130000000094
1200,10,1206.312000000009
1200,11,1224.526000000009
1200,12,1228.4290000000092
1250,3,3154.0219999999827
1250,4,1783.055999999995
1250,5,1440.6579999999967
1250,6,1442.4820000000068
1250,7,1128.5560000000114
1250,8,1178.8370000000104
1250,9,1199.1180000000095
1250,10,1206.312000000009
1250,11,1224.526000000009
1250,12,1228.4290000000092
1300,3,3118.8949999999836
1300,4,1777.8519999999949
1300,5,1441.3469999999977
1300,6,1416.4620000000082
1300,7,1141.0310000000104
1300,8,1171.0310000000104
1300,9,1199.1180000000095
1300,10,1210.215000000009
1300,11,1225.827000000009
1300,12,1225.8270000000093
1350,3,3118.8949999999836
1350,4,1777.8519999999949
1350,5,1446.0159999999983
1350,6,1129.7800000000125
1350,7,1141.0310000000104
1350,8,1152.81700000001
1350,9,1205.011000000009
1350,10,1207.6130000000092
1350,11,1224.526000000009
1350,12,1223.225000000009
1400,3,3096.777999999985
1400,4,1784.2799999999943
1400,5,1447.9289999999974
1400,6,1119.9840000000136
1400,7,1141.0310000000104
1400,8,1152.81700000001
1400,9,1204.3220000000097
1400,10,1223.2250000000095
1400,11,1221.924000000009
1400,12,1225.827000000009
1450,3,2769.533999999988
1450,4,1785.5039999999935
1450,5,1457.0359999999982
1450,6,1129.780000000013
1450,7,1133.7600000000116
1450,8,1185.4190000000096
1450,9,1203.7100000000091
1450,10,1206.312000000009
1450,11,1194.5260000000094
1450,12,1230.4190000000087
