Power,Number of TaskRunners,runtime
500,TaskTracker3,651.632
500,TaskTracker4,386.0199999999998
500,TaskTracker5,328.2139999999999
500,TaskTracker6,278.2139999999999
500,TaskTracker7,247.72899999999996
500,TaskTracker8,239.923
500,TaskTracker9,232.117
500,TaskTracker10,224.31099999999995
500,TaskTracker11,220.40799999999996
500,TaskTracker12,213.341
500,TaskTracker13,213.341
500,TaskTracker14,213.341
500,TaskTracker15,213.341
500,TaskTracker16,213.341
500,TaskTracker17,213.341
500,TaskTracker18,213.341
500,TaskTracker19,213.341
500,TaskTracker20,215.38099999999986
500,TaskTracker21,217.98299999999983
500,TaskTracker22,220.5849999999998
525,TaskTracker3,651.632
525,TaskTracker4,386.0199999999998
525,TaskTracker5,328.2139999999999
525,TaskTracker6,278.2139999999999
525,TaskTracker7,247.72899999999996
525,TaskTracker8,239.923
525,TaskTracker9,232.117
525,TaskTracker10,224.31099999999995
525,TaskTracker11,220.40799999999996
525,TaskTracker12,213.341
525,TaskTracker13,213.341
525,TaskTracker14,213.341
525,TaskTracker15,213.341
525,TaskTracker16,213.341
525,TaskTracker17,213.341
525,TaskTracker18,213.341
525,TaskTracker19,213.341
525,TaskTracker20,215.38099999999986
525,TaskTracker21,217.98299999999983
525,TaskTracker22,220.5849999999998
550,TaskTracker3,651.632
550,TaskTracker4,386.0199999999998
550,TaskTracker5,328.2139999999999
550,TaskTracker6,278.2139999999999
550,TaskTracker7,247.72899999999996
550,TaskTracker8,239.923
550,TaskTracker9,232.117
550,TaskTracker10,224.31099999999995
550,TaskTracker11,220.40799999999996
550,TaskTracker12,213.341
550,TaskTracker13,213.341
550,TaskTracker14,213.341
550,TaskTracker15,213.341
550,TaskTracker16,213.341
550,TaskTracker17,213.341
550,TaskTracker18,213.341
550,TaskTracker19,213.341
550,TaskTracker20,215.38099999999986
550,TaskTracker21,217.98299999999983
550,TaskTracker22,220.5849999999998
575,TaskTracker3,651.632
575,TaskTracker4,386.0199999999998
575,TaskTracker5,328.2139999999999
575,TaskTracker6,278.2139999999999
575,TaskTracker7,247.72899999999996
575,TaskTracker8,239.923
575,TaskTracker9,232.117
575,TaskTracker10,224.31099999999995
575,TaskTracker11,220.40799999999996
575,TaskTracker12,213.341
575,TaskTracker13,213.341
575,TaskTracker14,213.341
575,TaskTracker15,213.341
575,TaskTracker16,213.341
575,TaskTracker17,213.341
575,TaskTracker18,213.341
575,TaskTracker19,213.341
575,TaskTracker20,215.38099999999986
575,TaskTracker21,217.98299999999983
575,TaskTracker22,220.5849999999998
600,TaskTracker3,651.632
600,TaskTracker4,386.0199999999998
600,TaskTracker5,328.2139999999999
600,TaskTracker6,278.2139999999999
600,TaskTracker7,247.72899999999996
600,TaskTracker8,239.923
600,TaskTracker9,232.117
600,TaskTracker10,224.31099999999995
600,TaskTracker11,220.40799999999996
600,TaskTracker12,213.341
600,TaskTracker13,213.341
600,TaskTracker14,213.341
600,TaskTracker15,213.341
600,TaskTracker16,213.341
600,TaskTracker17,213.341
600,TaskTracker18,213.341
600,TaskTracker19,213.341
600,TaskTracker20,215.38099999999986
600,TaskTracker21,217.98299999999983
600,TaskTracker22,220.5849999999998
625,TaskTracker3,651.632
625,TaskTracker4,386.0199999999998
625,TaskTracker5,328.2139999999999
625,TaskTracker6,278.2139999999999
625,TaskTracker7,247.72899999999996
625,TaskTracker8,239.923
